,Method,m,n,p,Coverage,MCS Size,FPR,Failures
0,Sample Cov,10,20,0.05,0.93076,8.86288,0.8813466666671954,0
1,Sample Cov,10,20,0.1,0.93074,8.86781,0.8818966666671952,0
2,Sample Cov,10,20,0.2,0.86093,8.87513,0.87837625,0
3,Sample Cov,10,200,0.05,0.9926,8.7075,0.8572111111116364,0
4,Sample Cov,10,200,0.1,0.99297,8.71292,0.8577722222227552,0
5,Sample Cov,10,200,0.2,0.97734,8.82462,0.85602125,0
6,Sample Cov,10,2000,0.05,0.99757,3.93216,0.32606555555551653,0
7,Sample Cov,10,2000,0.1,0.99731,3.92251,0.32502222222217775,0
8,Sample Cov,10,2000,0.2,0.97455,4.49056,0.314545,0
9,Sample Cov,50,20,0.05,0.999859998599986,48.871708717087174,0.9759967812443803,1
10,Sample Cov,50,20,0.1,0.9997,48.87821,0.9750780000002909,0
11,Sample Cov,50,20,0.2,0.99775,48.88031,0.9720645000001388,0
12,Sample Cov,50,200,0.05,0.97819,12.43634,0.20129468085105345,0
13,Sample Cov,50,200,0.1,0.95503,13.74133,0.19543111111118494,0
14,Sample Cov,50,200,0.2,0.88726,17.77878,0.19805400000000337,0
15,Sample Cov,50,2000,0.05,0.96758,5.68255,0.057918085106413025,0
16,Sample Cov,50,2000,0.1,0.95484,7.55102,0.05800311111108277,0
17,Sample Cov,50,2000,0.2,0.92875,12.44674,0.06352049999999547,0
18,Sample Cov,250,20,0.05,1.0,248.97265,0.9956651898738249,0
19,Sample Cov,250,20,0.1,1.0,248.97362,0.9954383111109801,0
20,Sample Cov,250,20,0.2,1.0,248.98702,0.9949351000000041,0
21,Sample Cov,250,200,0.05,1.0,248.71650526231542,0.994584410389949,44
22,Sample Cov,250,200,0.1,1.0,248.72005122356285,0.9943113387713214,46
23,Sample Cov,250,200,0.2,1.0,248.7208995238286,0.9936044976192223,36
24,Sample Cov,250,2000,0.05,0.92471,15.67978,0.011732405063288306,0
25,Sample Cov,250,2000,0.1,0.90363,27.75835,0.012847111111101539,0
26,Sample Cov,250,2000,0.2,0.87298,52.80301,0.014970100000006726,0
27,2004a,10,20,0.05,0.98848,9.78869,0.9778011111112405,0
28,2004a,10,20,0.1,0.98856,9.79125,0.9780766666667946,0
29,2004a,10,20,0.2,0.97619,9.80019,0.978165,0
30,2004a,10,200,0.05,0.99352,8.80896,0.8683822222227242,0
31,2004a,10,200,0.1,0.99413,8.8184,0.8693633333338371,0
32,2004a,10,200,0.2,0.9804,8.92666,0.86835875,0
33,2004a,10,2000,0.05,0.9974,3.93306,0.32618444444440003,0
34,2004a,10,2000,0.1,0.99746,3.93611,0.32651666666662,0
35,2004a,10,2000,0.2,0.97603,4.50522,0.31617625,0
36,2004a,50,20,0.05,0.95199,27.21105,0.5161942553191369,0
37,2004a,50,20,0.1,0.90201,27.74665,0.5078982222221996,0
38,2004a,50,20,0.2,0.73554,29.68729,0.5007924999999934,0
39,2004a,50,200,0.05,0.98285,12.70822,0.20696531914892344,0
40,2004a,50,200,0.1,0.96251,14.02167,0.20144977777785994,0
41,2004a,50,200,0.2,0.90497,18.07189,0.2047135000000056,0
42,2004a,50,2000,0.05,0.96732,5.68865,0.05805851063832781,0
43,2004a,50,2000,0.1,0.95526,7.55567,0.05809333333330426,0
44,2004a,50,2000,0.2,0.93311,12.45633,0.06359599999999456,0
45,2004a,250,20,0.05,0.84499,38.26727,0.10740881856538527,0
46,2004a,250,20,0.1,0.6226,47.17826,0.10120857777775946,0
47,2004a,250,20,0.2,0.2454,66.81415,0.09529659999997928,0
48,2004a,250,200,0.05,0.89867,21.6267,0.03692940928271204,0
49,2004a,250,200,0.1,0.7896,32.93623,0.03661071111109206,0
50,2004a,250,200,0.2,0.49775,56.05853,0.03564190000001252,0
51,2004a,250,2000,0.05,0.92891,15.69187,0.011758607594933551,0
52,2004a,250,2000,0.1,0.90596,27.77704,0.01291359999999047,0
53,2004a,250,2000,0.2,0.87561,52.82454,0.015044050000006675,0
54,2004b,10,20,0.05,0.9907,9.82345,0.9814166666667781,0
55,2004b,10,20,0.1,0.99052,9.82679,0.9818077777778895,0
56,2004b,10,20,0.2,0.98121,9.83363,0.98168,0
57,2004b,10,200,0.05,0.99385,8.83157,0.8708577777782791,0
58,2004b,10,200,0.1,0.99357,8.83275,0.8710200000005012,0
59,2004b,10,200,0.2,0.98049,8.94713,0.87091,0
60,2004b,10,2000,0.05,0.99749,3.947,0.3277233333332865,0
61,2004b,10,2000,0.1,0.99805,3.93583,0.32641999999995247,0
62,2004b,10,2000,0.2,0.97462,4.50343,0.316125,0
63,2004b,50,20,0.05,0.95803,27.94359,0.5316461702127308,0
64,2004b,50,20,0.1,0.91364,28.4378,0.5229433333332584,0
65,2004b,50,20,0.2,0.7609,30.37615,0.5170302499999971,0
66,2004b,50,200,0.05,0.982,12.72712,0.20738723404253845,0
67,2004b,50,200,0.1,0.96268,14.04694,0.20201400000008363,0
68,2004b,50,200,0.2,0.90746,18.10542,0.20549350000000333,0
69,2004b,50,2000,0.05,0.96951,5.70003,0.058238085106411756,0
70,2004b,50,2000,0.1,0.95491,7.55975,0.05819799999997068,0
71,2004b,50,2000,0.2,0.93094,12.45671,0.06367224999999628,0
72,2004b,250,20,0.05,0.86642,39.2234,0.1113143037974467,0
73,2004b,250,20,0.1,0.66883,48.14026,0.1050410222222047,0
74,2004b,250,20,0.2,0.29317,67.96246,0.09947969999998114,0
