,Method,m,n,p,Coverage,MCS Size,FPR,Failures
0,Sample Cov,10,20,0.05,0.93633,9.03643,0.900011111111629,0
1,Sample Cov,10,20,0.1,0.93455,9.03158,0.8996700000005267,0
2,Sample Cov,10,20,0.2,0.88238,9.04634,0.8977675,0
3,Sample Cov,10,200,0.05,0.99683,9.65936,0.9625033333334958,0
4,Sample Cov,10,200,0.1,0.99679,9.65866,0.9624300000001561,0
5,Sample Cov,10,200,0.2,0.99081,9.6934,0.962885,0
6,Sample Cov,10,2000,0.05,0.99787,5.75747,0.5288444444444795,0
7,Sample Cov,10,2000,0.1,0.99755,5.74989,0.5280377777778151,0
8,Sample Cov,10,2000,0.2,0.9794,6.46535,0.56079625,0
9,Sample Cov,50,20,0.05,0.99842,48.92681,0.9771997872340275,0
10,Sample Cov,50,20,0.1,0.99643,48.93043,0.976318000000279,0
11,Sample Cov,50,20,0.2,0.98812,48.93215,0.9736440000001573,0
12,Sample Cov,50,200,0.05,0.98312,14.89845,0.2535653191489089,0
13,Sample Cov,50,200,0.1,0.96769,16.47181,0.2557928888889226,0
14,Sample Cov,50,200,0.2,0.92794,21.275,0.28417724999999755,0
15,Sample Cov,50,2000,0.05,0.97011,5.85093,0.06143489361704823,0
16,Sample Cov,50,2000,0.1,0.95776,7.77948,0.06299644444441342,0
17,Sample Cov,50,2000,0.2,0.9384,12.87815,0.07399650000000438,0
18,Sample Cov,250,20,0.05,1.0,248.98481,0.9957164978907018,0
19,Sample Cov,250,20,0.1,1.0,248.99765,0.9955451111109799,0
20,Sample Cov,250,20,0.2,1.0,248.99,0.9949499999999987,0
21,Sample Cov,250,200,0.05,1.0,248.72224667840564,0.9946086357742949,48
22,Sample Cov,250,200,0.1,1.0,248.71638222524558,0.9942950321121141,38
23,Sample Cov,250,200,0.2,1.0,248.73120022411655,0.9936560011206532,52
24,Sample Cov,250,2000,0.05,0.92708,15.75706,0.012040928270039811,0
25,Sample Cov,250,2000,0.1,0.90745,27.92268,0.013548977777768725,0
26,Sample Cov,250,2000,0.2,0.88283,53.14992,0.01661845000000813,0
27,2004a,10,20,0.05,0.98898,9.79123,0.9780277777779283,0
28,2004a,10,20,0.1,0.98862,9.7931,0.9782755555557028,0
29,2004a,10,20,0.2,0.97795,9.79417,0.977355,0
30,2004a,10,200,0.05,0.99747,9.68566,0.9653544444445991,0
31,2004a,10,200,0.1,0.99721,9.67622,0.9643344444445962,0
32,2004a,10,200,0.2,0.9916,9.71786,0.96584375,0
33,2004a,10,2000,0.05,0.99807,5.76222,0.5293500000000326,0
34,2004a,10,2000,0.1,0.99815,5.75919,0.5290044444444784,0
35,2004a,10,2000,0.2,0.98061,6.479,0.562345,0
36,2004a,50,20,0.05,0.9671,35.10179,0.6837617021275562,0
37,2004a,50,20,0.1,0.93618,35.46917,0.6787071111112494,0
38,2004a,50,20,0.2,0.82223,36.72022,0.6741077499999718,0
39,2004a,50,200,0.05,0.98751,15.12782,0.25833510638294327,0
40,2004a,50,200,0.1,0.97565,16.72716,0.2612473333333679,0
41,2004a,50,200,0.2,0.94196,21.59639,0.29171799999999837,0
42,2004a,50,2000,0.05,0.97058,5.8629,0.06166553191491998,0
43,2004a,50,2000,0.1,0.95778,7.79155,0.06325511111108086,0
44,2004a,50,2000,0.2,0.93899,12.89349,0.07434075000000437,0
45,2004a,250,20,0.05,0.91349,42.10432,0.12321902953582539,0
46,2004a,250,20,0.1,0.78466,51.86781,0.120668088888876,0
47,2004a,250,20,0.2,0.45452,73.00157,0.12059954999999392,0
48,2004a,250,200,0.05,0.92804,22.36398,0.03987379746837185,0
49,2004a,250,200,0.1,0.86066,34.11859,0.04132644444442504,0
50,2004a,250,200,0.2,0.65099,57.99027,0.043038250000011165,0
51,2004a,250,2000,0.05,0.9318,15.79285,0.01216329113923807,0
52,2004a,250,2000,0.1,0.91177,27.95228,0.013647022222212831,0
53,2004a,250,2000,0.2,0.88849,53.18683,0.016768550000008615,0
54,2004b,10,20,0.05,0.99017,9.81944,0.9810300000001323,0
55,2004b,10,20,0.1,0.99043,9.82434,0.9815455555556832,0
56,2004b,10,20,0.2,0.98159,9.82414,0.98057375,0
57,2004b,10,200,0.05,0.99745,9.69236,0.9661011111112559,0
58,2004b,10,200,0.1,0.9973,9.69382,0.966280000000149,0
59,2004b,10,200,0.2,0.9921,9.7226,0.96636375,0
60,2004b,10,2000,0.05,0.99797,5.76279,0.5294244444444774,0
61,2004b,10,2000,0.1,0.99789,5.77075,0.5303177777778051,0
62,2004b,10,2000,0.2,0.98033,6.48138,0.56265125,0
63,2004b,50,20,0.05,0.97238,35.98156,0.7023595744679915,0
64,2004b,50,20,0.1,0.94534,36.32973,0.6975933333335319,0
65,2004b,50,20,0.2,0.84254,37.51503,0.6931797499999837,0
66,2004b,50,200,0.05,0.98833,15.19199,0.25968148936166086,0
67,2004b,50,200,0.1,0.97692,16.79747,0.2627644444444734,0
68,2004b,50,200,0.2,0.9454,21.67626,0.2936139999999982,0
69,2004b,50,2000,0.05,0.97104,5.86172,0.061646595744707516,0
70,2004b,50,2000,0.1,0.95868,7.793,0.06328755555552369,0
71,2004b,50,2000,0.2,0.93877,12.8947,0.0744035000000047,0
72,2004b,250,20,0.05,0.93272,43.26291,0.12800620253160236,0
73,2004b,250,20,0.1,0.82337,53.09969,0.12587088888887682,0
74,2004b,250,20,0.2,0.51803,74.31326,0.1261137499999982,0
75,2004b,250,200,0.05,0.9294,22.40739,0.04005295358651576,0
76,2004b,250,200,0.1,0.86508,34.16751,0.04151773333331343,0
77,2004b,250,200,0.2,0.65794,58.04538,0.04323290000001033,0
78,2004b,250,2000,0.05,0.93238,15.79931,0.012187257383963774,0
79,2004b,250,2000,0.1,0.91422,27.95988,0.013669999999990867,0
80,2004b,250,2000,0.2,0.88837,53.18652,0.016764700000008393,0
81,2020,10,20,0.05,0.99788,9.95873,0.9956500000000278,0
82,2020,10,20,0.1,0.99825,9.95969,0.9957155555555829,0
83,2020,10,20,0.2,0.99591,9.95826,0.99536375,0
84,2020,10,200,0.05,0.99798,9.73519,0.9708011111112316,0
85,2020,10,200,0.1,0.99782,9.73171,0.9704322222223459,0
86,2020,10,200,0.2,0.99334,9.75716,0.97053,0
87,2020,10,2000,0.05,0.99783,5.77172,0.5304322222222598,0
88,2020,10,2000,0.1,0.99801,5.77169,0.5304088888889184,0
89,2020,10,2000,0.2,0.98018,6.48691,0.5633675,0
90,2020,50,20,0.05,0.99985,47.85,0.9542587234042587,0
91,2020,50,20,0.1,0.9996,47.95485,0.954561111111402,0
92,2020,50,20,0.2,0.99847,48.36215,0.959093750000042,0
93,2020,50,200,0.05,0.98988,16.28264,0.2828546808510164,0
94,2020,50,200,0.1,0.9818,18.08749,0.29132466666668877,0
95,2020,50,200,0.2,0.96854,23.74365,0.3445460000000048,0
96,2020,50,2000,0.05,0.97045,5.85828,0.06158851063832347,0
97,2020,50,2000,0.1,0.95767,7.79757,0.0633904444444143,0
98,2020,50,2000,0.2,0.94177,12.91673,0.07483025000000472,0
99,2020,250,20,0.05,0.98035,48.78157,0.15106324894511802,0
100,2020,250,20,0.1,0.93137,58.11823,0.1475328888888861,0
101,2020,250,20,0.2,0.8088,81.13976,0.15694820000001736,0
102,2020,250,200,0.05,0.94616,25.65172,0.05365354430379635,0
103,2020,250,200,0.1,0.93771,38.1272,0.05867422222219854,0
104,2020,250,200,0.2,0.97354,64.94384,0.0748667499999846,0
105,2020,250,2000,0.05,0.93259,15.80257,0.01219303797468116,0
106,2020,250,2000,0.1,0.91966,28.01137,0.013869199999990709,0
107,2020,250,2000,0.2,0.92003,53.41733,0.017650750000009142,0
