,Method,m,n,p,Coverage,MCS Size,FPR,Failures
0,Sample Cov,10,20,0.05,0.95344,9.02496,0.8968355555561465,0
1,Sample Cov,10,20,0.1,0.95297,9.02536,0.896932222222811,0
2,Sample Cov,10,20,0.2,0.8987,9.03474,0.89296625,0
3,Sample Cov,10,200,0.05,0.99668,9.19519,0.9109455555560757,0
4,Sample Cov,10,200,0.1,0.99638,9.19726,0.9112088888894021,0
5,Sample Cov,10,200,0.2,0.98881,9.30552,0.9146525,0
6,Sample Cov,10,2000,0.05,0.99763,4.28405,0.36515777777774594,0
7,Sample Cov,10,2000,0.1,0.99752,4.29596,0.36649333333330536,0
8,Sample Cov,10,2000,0.2,0.97771,4.94742,0.3712475,0
9,Sample Cov,50,20,0.05,0.99999,48.90739,0.9767531914893474,0
10,Sample Cov,50,20,0.1,0.99993,48.92343,0.9760777777780608,0
11,Sample Cov,50,20,0.2,0.99958,48.91454,0.972874500000138,0
12,Sample Cov,50,200,0.05,0.98174,12.97431,0.21266063829784976,0
13,Sample Cov,50,200,0.1,0.96186,14.34266,0.20863022222230113,0
14,Sample Cov,50,200,0.2,0.90379,18.58231,0.21756575000000172,0
15,Sample Cov,50,2000,0.05,0.97001,5.80767,0.06051489361704844,0
16,Sample Cov,50,2000,0.1,0.95614,7.70569,0.061404444444412426,0
17,Sample Cov,50,2000,0.2,0.93466,12.7078,0.06986374999999652,0
18,Sample Cov,250,20,0.05,1.0,248.9788,0.9956911392409107,0
19,Sample Cov,250,20,0.1,1.0,248.98679,0.9954968444443115,0
20,Sample Cov,250,20,0.2,1.0,248.99493,0.9949746500000022,0
21,Sample Cov,250,200,0.05,1.0,248.68452386908277,0.9944494678024728,59
22,Sample Cov,250,200,0.1,1.0,248.68880307335226,0.9941724581037088,44
23,Sample Cov,250,200,0.2,1.0,248.69311883466395,0.9934655941733935,46
24,Sample Cov,250,2000,0.05,0.92764,15.74741,0.01200333333333059,0
25,Sample Cov,250,2000,0.1,0.90696,27.89272,0.013422977777768554,0
26,Sample Cov,250,2000,0.2,0.88071,53.06004,0.0161884000000079,0
27,2004a,10,20,0.05,0.99581,9.88183,0.9873355555556581,0
28,2004a,10,20,0.1,0.99574,9.88309,0.9874833333334345,0
29,2004a,10,20,0.2,0.99102,9.88849,0.98725625,0
30,2004a,10,200,0.05,0.99721,9.32713,0.9255466666671338,0
31,2004a,10,200,0.1,0.99761,9.32972,0.9257900000004666,0
32,2004a,10,200,0.2,0.99177,9.42486,0.92918625,0
33,2004a,10,2000,0.05,0.99784,4.31351,0.3684077777777513,0
34,2004a,10,2000,0.1,0.99752,4.30771,0.36779888888886453,0
35,2004a,10,2000,0.2,0.97882,4.96623,0.37346375,0
36,2004a,50,20,0.05,0.98898,34.85794,0.6780689361700805,0
37,2004a,50,20,0.1,0.97644,35.50725,0.6784913333332416,0
38,2004a,50,20,0.2,0.93386,38.00869,0.702073999999999,0
39,2004a,50,200,0.05,0.98613,13.44982,0.22266702127655874,0
40,2004a,50,200,0.1,0.97199,14.84045,0.2194122222222945,0
41,2004a,50,200,0.2,0.93298,19.1676,0.23121224999999987,0
42,2004a,50,2000,0.05,0.97023,5.81677,0.060711702127685355,0
43,2004a,50,2000,0.1,0.95751,7.71685,0.0616155555555237,0
44,2004a,50,2000,0.2,0.93563,12.72977,0.07032424999999724,0
45,2004a,250,20,0.05,0.89579,40.92582,0.11834122362865723,0
46,2004a,250,20,0.1,0.75362,50.80352,0.11616946666664929,0
47,2004a,250,20,0.2,0.51014,73.69694,0.12298609999999707,0
48,2004a,250,200,0.05,0.90845,21.96647,0.03831113924051998,0
49,2004a,250,200,0.1,0.82232,33.55261,0.03908999999998111,0
50,2004a,250,200,0.2,0.62805,57.6224,0.041445500000011334,0
51,2004a,250,2000,0.05,0.92841,15.76711,0.012066919831221084,0
52,2004a,250,2000,0.1,0.90929,27.90479,0.01345631111110193,0
53,2004a,250,2000,0.2,0.88482,53.08775,0.016298700000007927,0
54,2004b,10,20,0.05,0.99701,9.90869,0.9901866666667485,0
55,2004b,10,20,0.1,0.997,9.91088,0.9904311111111891,0
56,2004b,10,20,0.2,0.99303,9.91206,0.9899275,0
57,2004b,10,200,0.05,0.99777,9.33739,0.9266244444449081,0
58,2004b,10,200,0.1,0.99772,9.33682,0.926566666667133,0
59,2004b,10,200,0.2,0.99197,9.43439,0.93035875,0
60,2004b,10,2000,0.05,0.99734,4.30727,0.3677699999999686,0
61,2004b,10,2000,0.1,0.99757,4.30874,0.367907777777751,0
62,2004b,10,2000,0.2,0.9782,4.96119,0.3729075,0
63,2004b,50,20,0.05,0.99248,35.90108,0.7001876595743408,0
64,2004b,50,20,0.1,0.98245,36.51171,0.700668222222343,0
65,2004b,50,20,0.2,0.94788,38.99749,0.7263680000000108,0
66,2004b,50,200,0.05,0.98656,13.48875,0.22348319148932927,0
67,2004b,50,200,0.1,0.97175,14.86756,0.22001244444451723,0
68,2004b,50,200,0.2,0.93202,19.19329,0.23190075000000204,0
69,2004b,50,2000,0.05,0.96987,5.81734,0.06072085106385547,0
70,2004b,50,2000,0.1,0.95665,7.71518,0.06160933333330254,0
71,2004b,50,2000,0.2,0.93663,12.72681,0.07024374999999719,0
72,2004b,250,20,0.05,0.91558,41.97697,0.12267388185649758,0
73,2004b,250,20,0.1,0.79526,51.89237,0.12070168888887285,0
74,2004b,250,20,0.2,0.58094,75.03062,0.12867750000000627,0
75,2004b,250,200,0.05,0.91072,21.99681,0.03842518987343225,0
76,2004b,250,200,0.1,0.82736,33.60258,0.03927675555553652,0
77,2004b,250,200,0.2,0.63666,57.69384,0.041708850000011295,0
78,2004b,250,2000,0.05,0.92913,15.76461,0.012062658227845491,0
79,2004b,250,2000,0.1,0.90988,27.91145,0.013486177777768445,0
80,2004b,250,2000,0.2,0.88663,53.09225,0.016304150000007893,0
81,2020,10,20,0.05,0.99897,9.97311,0.9971266666666896,0
82,2020,10,20,0.1,0.99913,9.97322,0.9971211111111347,0
83,2020,10,20,0.2,0.99808,9.97433,0.99704625,0
84,2020,10,200,0.05,0.99759,9.3698,0.9302455555559951,0
85,2020,10,200,0.1,0.99762,9.36569,0.9297855555559942,0
86,2020,10,200,0.2,0.99228,9.46082,0.9336175,0
87,2020,10,2000,0.05,0.99761,4.30431,0.36741111111108243,0
88,2020,10,2000,0.1,0.99744,4.30298,0.36728222222219714,0
89,2020,10,2000,0.2,0.97763,4.95749,0.37251875,0
90,2020,50,20,0.05,0.99894,41.60275,0.8213576595744674,0
91,2020,50,20,0.1,0.9975,42.06273,0.8236720000009782,0
92,2020,50,20,0.2,0.9899,43.79368,0.8451029999999906,0
93,2020,50,200,0.05,0.98812,13.77389,0.22951787234038085,0
94,2020,50,200,0.1,0.97643,15.23111,0.2279753333333797,0
95,2020,50,200,0.2,0.95276,19.7774,0.24585149999999928,0
96,2020,50,2000,0.05,0.97002,5.81179,0.06060319148938777,0
97,2020,50,2000,0.1,0.95783,7.72158,0.06170511111107942,0
98,2020,50,2000,0.2,0.93821,12.73914,0.07050899999999752,0
99,2020,250,20,0.05,0.97742,47.42949,0.14537113924045547,0
100,2020,250,20,0.1,0.91955,56.40906,0.13999377777776503,0
101,2020,250,20,0.2,0.76451,78.76178,0.14535500000002688,0
102,2020,250,200,0.05,0.94559,25.44004,0.05276919831223548,0
103,2020,250,200,0.1,0.93137,37.67761,0.056710844444421336,0
104,2020,250,200,0.2,0.96629,64.05872,0.07048315000001361,0
105,2020,250,2000,0.05,0.92968,15.77837,0.01211206751054616,0
106,2020,250,2000,0.1,0.91962,27.98746,0.013752222222213048,0
107,2020,250,2000,0.2,0.91684,53.31889,0.017173750000008682,0
