,Method,m,n,p,Coverage,MCS Size,FPR,Failures
0,Sample Cov,10,20,0.05,0.95886,9.02123,0.8958188888895848,0
1,Sample Cov,10,20,0.1,0.95801,9.01789,0.8955422222229169,0
2,Sample Cov,10,20,0.2,0.90499,9.02154,0.8901825,0
3,Sample Cov,10,200,0.05,0.9976,9.23999,0.915821111111675,0
4,Sample Cov,10,200,0.1,0.99792,9.23836,0.9156044444450081,0
5,Sample Cov,10,200,0.2,0.99327,9.34815,0.9193825,0
6,Sample Cov,10,2000,0.05,0.99767,4.32401,0.3695933333333071,0
7,Sample Cov,10,2000,0.1,0.99771,4.31246,0.3683055555555315,0
8,Sample Cov,10,2000,0.2,0.97913,4.9832,0.3755375,0
9,Sample Cov,50,20,0.05,0.99998,48.92207,0.977065744680838,0
10,Sample Cov,50,20,0.1,1.0,48.92603,0.9761340000002832,0
11,Sample Cov,50,20,0.2,0.99998,48.91964,0.9729915000001644,0
12,Sample Cov,50,200,0.05,0.98792,13.37357,0.2209934042552868,0
13,Sample Cov,50,200,0.1,0.97438,14.74906,0.21728266666674642,0
14,Sample Cov,50,200,0.2,0.92917,18.97277,0.22639450000000041,0
15,Sample Cov,50,2000,0.05,0.97164,5.84301,0.061211489361727635,0
16,Sample Cov,50,2000,0.1,0.95875,7.74963,0.06225777777774662,0
17,Sample Cov,50,2000,0.2,0.93846,12.75821,0.07088774999999826,0
18,Sample Cov,250,20,0.05,1.0,248.98653,0.9957237552746666,0
19,Sample Cov,250,20,0.1,1.0,248.99499,0.9955332888887545,0
20,Sample Cov,250,20,0.2,1.0,248.99374,0.9949687000000181,0
21,Sample Cov,250,200,0.05,1.0,248.67942047546626,0.9944279344960741,56
22,Sample Cov,250,200,0.1,1.0,248.67981828551987,0.9941325257133539,63
23,Sample Cov,250,200,0.2,1.0,248.68483089853913,0.9934241544927762,60
24,Sample Cov,250,2000,0.05,0.93353,15.80261,0.012180843881854246,0
25,Sample Cov,250,2000,0.1,0.91191,27.93094,0.013543555555545917,0
26,Sample Cov,250,2000,0.2,0.88774,53.10241,0.016323400000007822,0
27,2004a,10,20,0.05,0.99736,9.90711,0.9899722222223057,0
28,2004a,10,20,0.1,0.99774,9.90676,0.9898911111111947,0
29,2004a,10,20,0.2,0.99414,9.91111,0.98967,0
30,2004a,10,200,0.05,0.99856,9.41977,0.9356900000004725,0
31,2004a,10,200,0.1,0.99854,9.41214,0.9348444444449135,0
32,2004a,10,200,0.2,0.99517,9.49892,0.93799375,0
33,2004a,10,2000,0.05,0.99778,4.34701,0.3721366666666389,0
34,2004a,10,2000,0.1,0.99812,4.35193,0.372645555555532,0
35,2004a,10,2000,0.2,0.98053,5.00673,0.37830625,0
36,2004a,50,20,0.05,0.99898,37.29454,0.7296942553190278,0
37,2004a,50,20,0.1,0.99742,37.82742,0.7295602222226146,0
38,2004a,50,20,0.2,0.99081,39.98831,0.7499660000000042,0
39,2004a,50,200,0.05,0.99267,13.96199,0.23340787234037338,0
40,2004a,50,200,0.1,0.98429,15.32554,0.22985600000005635,0
41,2004a,50,200,0.2,0.95978,19.65672,0.2425777500000021,0
42,2004a,50,2000,0.05,0.97286,5.85692,0.061481276595769976,0
