,Method,m,n,p,Coverage,MCS Size,FPR,Failures
0,Sample Cov,10,20,0.05,0.922,8.57342,0.850157777778278,0
1,Sample Cov,10,20,0.1,0.92307,8.58128,0.8509122222227251,0
2,Sample Cov,10,20,0.2,0.84335,8.57633,0.84416875,0
3,Sample Cov,10,200,0.05,0.99403,9.04537,0.8945933333338155,0
4,Sample Cov,10,200,0.1,0.99346,9.04502,0.8946177777782602,0
5,Sample Cov,10,200,0.2,0.98066,9.16288,0.89795125,0
6,Sample Cov,10,2000,0.05,0.99723,4.24958,0.3613722222221874,0
7,Sample Cov,10,2000,0.1,0.99737,4.24962,0.3613611111110827,0
8,Sample Cov,10,2000,0.2,0.97596,4.90937,0.36671875,0
9,Sample Cov,50,20,0.05,0.99978,48.94159,0.9774853191489224,0
10,Sample Cov,50,20,0.1,0.99949,48.93606,0.9763691111113904,0
11,Sample Cov,50,20,0.2,0.99711,48.93775,0.9735162500001586,0
12,Sample Cov,50,200,0.05,0.96421,12.26919,0.1981087234042478,0
13,Sample Cov,50,200,0.1,0.93383,13.65648,0.1942284444445046,0
14,Sample Cov,50,200,0.2,0.85042,17.84052,0.20135599999999962,0
15,Sample Cov,50,2000,0.05,0.96732,5.75004,0.05936978723407033,0
16,Sample Cov,50,2000,0.1,0.952,7.64975,0.060313999999969725,0
17,Sample Cov,50,2000,0.2,0.9272,12.64265,0.06859649999999518,0
18,Sample Cov,250,20,0.05,1.0,248.98415,0.9957137130805799,0
19,Sample Cov,250,20,0.1,1.0,248.98734,0.9954992888887606,0
20,Sample Cov,250,20,0.2,1.0,248.98662,0.9949330999999972,0
21,Sample Cov,250,200,0.05,1.0,248.6945528406476,0.9944917841381795,58
22,Sample Cov,250,200,0.1,1.0,248.68272136068035,0.994145428269622,50
23,Sample Cov,250,200,0.2,1.0,248.69984692193017,0.9934992346097207,51
24,Sample Cov,250,2000,0.05,0.9208,15.68521,0.01179320675105221,0
25,Sample Cov,250,2000,0.1,0.89716,27.82264,0.013196399999990756,0
26,Sample Cov,250,2000,0.2,0.86636,52.97043,0.015901650000007508,0
27,2004a,10,20,0.05,0.99662,9.90632,0.9899666666667465,0
28,2004a,10,20,0.1,0.99733,9.9099,0.9902855555556334,0
29,2004a,10,20,0.2,0.99256,9.9112,0.98988125,0
30,2004a,10,200,0.05,0.99674,9.29757,0.922314444444875,0
31,2004a,10,200,0.1,0.99656,9.3007,0.9226822222226606,0
32,2004a,10,200,0.2,0.98919,9.40321,0.92682125,0
33,2004a,10,2000,0.05,0.99739,4.28693,0.36550444444441565,0
34,2004a,10,2000,0.1,0.99739,4.28509,0.3652999999999664,0
35,2004a,10,2000,0.2,0.9768,4.92923,0.3690975,0
36,2004a,50,20,0.05,0.96638,32.57784,0.630056382978594,0
37,2004a,50,20,0.1,0.93536,33.39471,0.6325422222219796,0
38,2004a,50,20,0.2,0.84702,36.38802,0.6642624999999933,0
39,2004a,50,200,0.05,0.9797,13.05297,0.21438255319146374,0
40,2004a,50,200,0.1,0.95911,14.44802,0.21104911111118446,0
41,2004a,50,200,0.2,0.90594,18.7987,0.2229500000000016,0
42,2004a,50,2000,0.05,0.96781,5.77401,0.0598563829787509,0
43,2004a,50,2000,0.1,0.95567,7.67858,0.060840222222191626,0
44,2004a,50,2000,0.2,0.93295,12.68375,0.06937149999999653,0
45,2004a,250,20,0.05,0.78095,38.71655,0.10967894514766134,0
46,2004a,250,20,0.1,0.58566,49.11951,0.11002533333331871,0
47,2004a,250,20,0.2,0.34654,72.7915,0.1209208999999945,0
48,2004a,250,200,0.05,0.87512,21.60252,0.036989451476804366,0
49,2004a,250,200,0.1,0.77677,33.22394,0.03799186666664777,0
50,2004a,250,200,0.2,0.58618,57.39581,0.040965450000011595,0
51,2004a,250,2000,0.05,0.92221,15.70757,0.011876962025313693,0
52,2004a,250,2000,0.1,0.90283,27.8572,0.013310666666657414,0
53,2004a,250,2000,0.2,0.87518,53.02186,0.016073050000007656,0
54,2004b,10,20,0.05,0.99782,9.92883,0.9923344444445078,0
55,2004b,10,20,0.1,0.99753,9.92726,0.9921922222222836,0
56,2004b,10,20,0.2,0.99463,9.93213,0.99222,0
57,2004b,10,200,0.05,0.9963,9.31227,0.9239966666670889,0
58,2004b,10,200,0.1,0.99683,9.29927,0.9224933333337569,0
59,2004b,10,200,0.2,0.98959,9.41364,0.92808375,0
60,2004b,10,2000,0.05,0.99763,4.28818,0.3656166666666324,0
61,2004b,10,2000,0.1,0.99739,4.27895,0.3646177777777468,0
62,2004b,10,2000,0.2,0.97778,4.93538,0.36973625,0
63,2004b,50,20,0.05,0.97257,33.72903,0.6544119148934741,0
64,2004b,50,20,0.1,0.9461,34.48631,0.6565311111109202,0
65,2004b,50,20,0.2,0.87062,37.4071,0.688967500000007,0
66,2004b,50,200,0.05,0.97994,13.10887,0.21556553191487013,0
67,2004b,50,200,0.1,0.95987,14.49359,0.21203844444451783,0
68,2004b,50,200,0.2,0.90873,18.82675,0.22354525000000616,0
69,2004b,50,2000,0.05,0.96827,5.7755,0.05988914893619758,0
70,2004b,50,2000,0.1,0.95426,7.67518,0.06081311111107985,0
71,2004b,50,2000,0.2,0.93163,12.68365,0.0694179999999957,0
72,2004b,250,20,0.05,0.8097,39.81071,0.11410616033752485,0
73,2004b,250,20,0.1,0.63306,50.31822,0.11489555555554089,0
74,2004b,250,20,0.2,0.40408,74.15058,0.12656070000000177,0
